id	en	fr	pt	es	it	ko	ru	tr	de										
builder/plans/expired	The domain name you have registered does not appear to be a valid domain name.	Le nom de domaine que vous avez enregistré ne semble pas être un nom de domaine valide.	O nome de domínio que você registrou não parece ser um nome de domínio válido.	El nombre de dominio que ha registrado no parece ser un nombre de dominio válido.	Il nome di dominio che hai registrato non sembra essere un nome di dominio valido.	등록한 도메인 이름은 유효한 도메인 이름으로 보이지 않습니다.	Зарегистрированное вами доменное имя не является действительным доменным именем.	Kaydettiğiniz alan adı geçerli bir alan adı gibi görünmüyor.	Der Domänenname, den Sie registriert haben, scheint kein gültiger Domänenname zu sein.										
notifications/add-url/manually/badly-formed	One of the urls does not respect the correct format.	L'une des URL ne respecte pas le format correct.	Um dos URLs não respeita o formato correto.	Una de las URL no respeta el formato correcto.	Uno degli URL non rispetta il formato corretto.	URL 중 하나는 올바른 형식을 존중하지 않습니다.	Один из адресов не соблюдает правильный формат.	URL'lerden biri doğru biçime uymuyor.	Eine der URLs entspricht nicht dem korrekten Format.										
notifications/index/credentials-error	Google informs us that your identification keys are wrong. Please change them.	Google nous informe que vos clés d'identification sont fausses. S'il vous plaît changez-les.	O Google nos informa que suas chaves de identificação estão erradas. Por favor, mude -os.	Google nos informa que sus claves de identificación están equivocadas. Por favor, cámbialos.	Google ci informa che le tue chiavi di identificazione sono sbagliate. Per favore cambiali.	Google은 식별 키가 잘못되었음을 알려줍니다. 변경 해주세요.	Google сообщает, что ваши идентификационные ключи неверны. Пожалуйста, измените их.	Google bize kimlik anahtarlarınızın yanlış olduğunu bildirdi. Lütfen değiştirin.	Google teilt uns mit, dass Ihre Identifikationsschlüssel falsch sind. Bitte ändern Sie sie.										
notifications/index/quota-exceed	You have exceeded the daily quota of 200 indexed urls. Please try again tomorrow.	Vous avez dépassé le quota quotidien de 200 URL indexées. Veuillez réessayer demain.	Você excedeu a cota diária de 200 URLs indexados. Por favor, tente novamente amanhã.	Usted ha superado la cuota diaria de 200 URL indexadas. Vuelva a intentarlo mañana.	Hai superato la quota giornaliera di 200 URL indicizzati. Per favore riprova domani.	200 개의 색인화 된 URL의 일일 할당량을 초과했습니다. 내일 다시 시도 해주세요.	Вы превысили суточную норму в 200 проиндексированных ссылок. Пожалуйста, повторите попытку завтра.	Günlük 200 dizinlenmiş URL kotasını aştınız. Lütfen yarın tekrar deneyin.	Sie haben die tägliche Quote von 200 indizierten URLs überschritten. Bitte versuchen Sie es morgen erneut.										
notifications/indexation/success	All pages have been submitted and successfully indexed!	Toutes les pages ont été soumises et indexées avec succès!	Todas as páginas foram enviadas e indexadas com sucesso!	¡Todas las páginas han sido presentadas e indexadas con éxito!	Tutte le pagine sono state inviate e indicizzate con successo!	모든 페이지가 제출되어 성공적으로 색인되었습니다!	Все страницы были переданы и успешно проиндексированы!	Tüm sayfalar gönderildi ve başarıyla indekslendi!	Alle Seiten wurden eingereicht und erfolgreich indexiert!										
notifications/websites/credentials/owner-error	Google informs us that you are not the owner of the site you wish to use. If this is an error, please follow our instructions.	Google nous informe que vous n'êtes pas le propriétaire du site que vous souhaitez utiliser. S'il s'agit d'une erreur, veuillez suivre nos instructions.	O Google nos informa que você não é o proprietário do site que deseja usar. Se isso for um erro, siga nossas instruções.	Google nos informa que usted no es el propietario del sitio que desea usar. Si este es un error, siga nuestras instrucciones.	Google ci informa che non sei il proprietario del sito che desideri utilizzare. Se questo è un errore, segui le nostre istruzioni.	Google은 귀하가 사용하려는 사이트의 소유자가 아니라고 알려줍니다. 이것이 오류 인 경우 지침을 따르십시오.	Google сообщает нам, что вы не являетесь владельцем сайта, который хотите использовать. Если это ошибка, следуйте нашим инструкциям.	Google, kullanmak istediğiniz sitenin sahibi olmadığınızı bize bildiriyor. Bu bir hataysa, lütfen talimatlarımızı izleyin.	Google teilt uns mit, dass Sie nicht der Eigentümer der Website sind, die Sie nutzen möchten. Sollte dies ein Fehler sein, folgen Sie bitte unseren Anweisungen.										
notifications/websites/credentials/login-required	Google informs us that your identification keys are wrong. Please change them.	Google nous informe que vos clés d'identification sont fausses. S'il vous plaît changez-les.	O Google nos informa que suas chaves de identificação estão erradas. Por favor, mude -os.	Google nos informa que sus claves de identificación están equivocadas. Por favor, cámbialos.	Google ci informa che le tue chiavi di identificazione sono sbagliate. Per favore cambiali.	Google은 식별 키가 잘못되었음을 알려줍니다. 변경 해주세요.	Google сообщает, что ваши идентификационные ключи неверны. Пожалуйста, измените их.	Google bize tanımlama anahtarlarınızın yanlış olduğunu bildirdi. Lütfen değiştirin.	Google teilt uns mit, dass Ihre Identifikationsschlüssel falsch sind. Bitte ändern Sie sie.										
notifications/websites/check/not-found	It seems that the site you want to use does not exist. Please check the url you submitted.	Il semble que le site que vous souhaitez utiliser n'existe pas. Veuillez vérifier l'URL que vous avez soumise.	Parece que o site que você deseja usar não existe. Por favor, verifique o URL que você enviou.	Parece que el sitio que desea usar no existe. Consulte la URL que envió.	Sembra che il sito che desideri utilizzare non esista. Si prega di controllare l'URL che hai inviato.	사용하려는 사이트가 존재하지 않는 것 같습니다. 제출 한 URL을 확인하십시오.	Похоже, что сайт, который Вы хотите использовать, не существует. Проверьте, пожалуйста, указанный вами адрес.	Kullanmak istediğiniz site mevcut değil gibi görünüyor. Lütfen gönderdiğiniz url'yi kontrol edin.	Es scheint, dass die von Ihnen gewünschte Seite nicht existiert. Bitte überprüfen Sie die von Ihnen angegebene URL.										
notifications/success	Congratulations!	Toutes nos félicitations!	Parabéns!	¡Felicidades!	Congratulazioni!	축하해요!	Поздравляем!	Tebrikler!	Herzlichen Glückwunsch!										
